wv1500,Error,soc,cfvo,ocd,ocs,nitrogen,silt,cec,Longitude,sand,phh2o,Latitude,clay,bdod,wv0033,wv0010
,,,,,,,,,92.3,,,20.6,,,,
,,,,,,,,,92.4,,,20.6,,,,
,,,,,,,,,92.5,,,20.6,,,,
176,,351,180,405,66,217,319,226,92.6,383,55,20.6,299,126,331,372
194,,408,76,339,54,254,351,257,92.7,336,57,20.6,314,104,320,355
183,,368,158,372,56,210,327,219,92.8,369,56,20.6,304,124,331,370
186,,357,223,414,59,208,328,230,92.9,397,54,20.6,275,121,325,381
190,,300,94,342,59,318,338,239,93.0,316,57,20.6,346,123,319,364
184,,317,98,328,49,274,359,240,93.1,312,59,20.6,329,126,311,379
169,,265,98,317,51,197,348,220,93.2,345,58,20.6,307,130,316,361
175,,370,178,354,49,199,368,222,93.3,394,57,20.6,238,125,320,374
170,,390,207,354,60,264,362,214,93.4,401,55,20.6,237,116,325,384
203,,482,212,417,69,329,321,213,93.5,431,54,20.6,248,110,340,392
179,,374,257,400,72,278,308,183,93.6,411,55,20.6,281,118,329,387
186,,375,215,383,63,332,348,169,93.7,400,55,20.6,252,117,335,399
187,,369,184,376,63,314,353,204,93.8,388,55,20.6,259,116,341,399
178,,489,185,423,70,533,367,222,93.9,394,55,20.6,239,110,340,413
176,,393,180,398,67,312,331,192,94.0,377,56,20.6,292,117,353,422
178,,518,235,397,69,381,330,182,94.1,416,56,20.6,254,116,350,410
153,,371,147,287,53,208,304,192,94.2,428,58,20.6,268,122,319,401
144,,433,162,329,60,258,267,184,94.3,460,59,20.6,273,119,310,381
155,,203,159,272,46,171,281,224,94.4,405,66,20.6,314,138,282,357
131,,381,112,239,39,161,259,146,94.5,416,63,20.6,325,137,283,360
155,,286,85,274,39,180,288,199,94.6,368,68,20.6,345,135,319,397
174,,262,63,296,57,250,322,192,94.7,388,67,20.6,290,138,301,389
156,,310,150,241,44,150,352,221,94.8,378,72,20.6,270,129,285,394
151,,542,176,282,52,198,288,214,94.9,416,70,20.6,297,127,310,382
170,,566,171,265,51,204,298,202,95.0,399,68,20.6,302,,304,377
168,,298,137,264,45,163,282,216,95.1,380,68,20.6,338,,308,370
167,,578,158,275,47,207,255,222,95.2,429,67,20.6,315,,304,379
165,,582,158,280,51,177,258,224,95.3,413,67,20.6,329,,308,380
168,,260,200,267,42,164,289,198,95.4,391,67,20.6,320,142,312,384
167,,320,110,249,42,130,288,169,95.5,433,67,20.6,279,129,318,377
165,,370,101,293,38,144,319,196,95.6,431,66,20.6,250,130,314,370
168,,460,140,301,49,179,285,232,95.7,436,66,20.6,279,128,310,380
171,,470,124,303,45,163,318,222,95.8,387,66,20.6,295,126,300,383
162,,219,82,274,41,145,334,201,95.9,378,66,20.6,287,132,301,384
169,,189,42,274,42,169,358,197,96.0,347,66,20.6,295,132,289,380
190,,193,52,275,43,165,317,197,96.1,404,66,20.6,280,135,296,380
169,,204,94,262,39,146,314,187,96.2,403,66,20.6,284,136,307,377
162,,226,132,301,56,185,340,179,96.3,407,61,20.6,253,125,292,377
173,,374,145,314,57,313,319,185,96.4,403,57,20.6,278,118,291,387
176,,357,176,325,65,278,323,171,96.5,369,57,20.6,308,121,337,407
180,,317,212,328,56,255,315,188,96.6,355,59,20.6,331,115,345,407
180,,329,132,355,60,270,312,184,96.7,362,60,20.6,327,115,346,407
187,,343,202,335,58,279,324,189,96.8,341,58,20.6,335,111,345,410
,,,,,,,,,96.9,,,20.6,,,,
182,,396,174,351,67,304,319,201,97.0,366,55,20.6,315,108,351,424
171,,333,130,312,60,282,334,197,97.1,343,60,20.6,323,122,342,415
179,,316,145,305,69,264,352,149,97.2,346,59,20.6,302,124,344,413
189,,373,207,342,72,287,293,236,97.3,367,56,20.6,339,108,363,419
169,,291,151,327,64,253,310,156,97.4,390,55,20.6,300,116,337,408
195,,609,211,353,75,357,327,247,97.5,375,61,20.6,298,109,359,420
171,,362,145,345,64,271,307,211,97.6,386,56,20.6,308,112,342,406
173,,518,185,321,64,417,334,210,97.7,367,56,20.6,299,104,352,405
179,,398,166,337,73,280,326,201,97.8,352,57,20.6,323,113,323,401
165,,225,86,312,49,173,300,172,97.9,412,57,20.6,288,125,353,390
181,,382,171,318,67,314,311,220,98.0,368,58,20.6,321,108,352,406
