Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall
8.0,96.8,0.0,28.59,80.71,1.46
8.0,96.9,0.0,28.59,80.71,1.46
8.0,97.0,0.0,28.59,80.71,1.46
8.0,97.1,0.0,28.59,80.71,1.46
8.0,97.2,0.0,28.46,81.32,1.71
8.0,97.3,0.0,28.46,81.32,1.71
8.0,97.4,0.0,28.46,81.32,1.71
8.0,97.5,0.0,28.46,81.32,1.71
8.0,97.6,0.0,28.46,81.32,1.71
8.0,97.7,0.0,28.46,81.32,1.71
8.0,97.8,0.0,28.46,81.32,1.71
8.0,97.9,0.0,27.81,86.04,2.25
8.0,98.0,0.0,27.81,86.04,2.25
8.1,68.0,0.0,28.26,80.62,3.19
8.1,68.1,0.0,28.26,80.62,3.19
8.1,68.2,0.0,28.26,80.62,3.19
8.1,68.3,0.0,28.26,80.62,3.19
8.1,68.4,0.0,28.26,80.62,3.19
8.1,68.5,0.0,28.35,79.47,3.42
8.1,68.6,0.0,28.35,79.47,3.42
8.1,68.7,0.0,28.35,79.47,3.42
8.1,68.8,0.0,28.35,79.47,3.42
8.1,68.9,0.0,28.35,79.47,3.42
8.1,69.0,0.0,28.35,79.47,3.42
8.1,69.1,0.0,28.39,78.53,2.43
8.1,69.2,0.0,28.39,78.53,2.43
8.1,69.3,0.0,28.39,78.53,2.43
8.1,69.4,0.0,28.39,78.53,2.43
8.1,69.5,0.0,28.39,78.53,2.43
8.1,69.6,0.0,28.39,78.53,2.43
8.1,69.7,0.0,28.4,77.93,3.83
8.1,69.8,0.0,28.4,77.93,3.83
8.1,69.9,0.0,28.4,77.93,3.83
8.1,70.0,0.0,28.4,77.93,3.83
8.1,70.1,0.0,28.4,77.93,3.83
8.1,70.2,0.0,28.4,77.93,3.83
8.1,70.3,0.0,28.4,77.93,3.83
8.1,70.4,0.0,28.53,76.49,5.83
8.1,70.5,0.0,28.53,76.49,5.83
8.1,70.6,0.0,28.53,76.49,5.83
8.1,70.7,0.0,28.53,76.49,5.83
8.1,70.8,0.0,28.53,76.49,5.83
8.1,70.9,0.0,28.53,76.49,5.83
8.1,71.0,0.0,28.55,75.61,3.76
8.1,71.1,0.0,28.55,75.61,3.76
8.1,71.2,0.0,28.55,75.61,3.76
8.1,71.3,0.0,28.55,75.61,3.76
8.1,71.4,0.0,28.55,75.61,3.76
8.1,71.5,0.0,28.55,75.61,3.76
8.1,71.6,0.0,28.43,75.5,1.07
8.1,71.7,0.0,28.43,75.5,1.07
8.1,71.8,0.0,28.43,75.5,1.07
8.1,71.9,0.0,28.43,75.5,1.07
8.1,72.0,0.0,28.43,75.5,1.07
8.1,72.1,0.0,28.43,75.5,1.07
8.1,72.2,0.0,28.3,74.41,4.55
8.1,72.3,0.0,28.3,74.41,4.55
8.1,72.4,0.0,28.3,74.41,4.55
8.1,72.5,0.0,28.3,74.41,4.55
8.1,72.6,0.0,28.3,74.41,4.55
8.1,72.7,0.0,28.3,74.41,4.55
8.1,72.8,0.0,28.3,74.41,4.55
8.1,72.9,0.0,27.52,76.64,1.43
8.1,73.0,0.0,27.52,76.64,1.43
8.1,73.1,0.0,27.52,76.64,1.43
8.1,73.2,0.0,27.52,76.64,1.43
